term,df,sumsq,meansq,statistic,p.value,p_label
genotype,1,75474928.40436171,75474928.40436171,20.56822710227991,1.851079428120242e-5,****
AP_axis,1,5411163.27538529,5411163.27538529,1.4746358491306566,0.22793967643055513,ns
genotype:AP_axis,1,49517671.483526595,49517671.483526595,13.494424362917394,4.150724093019696e-4,***
Residuals,86,315576243.42137015,3669491.2025740715,NA,NA,n.c.
