term,estimate,std.error,statistic,p.value,p_label
(Intercept),1234.2442965961266,426.88913846600354,2.8912525182329483,0.004857537178425354,**
genotype3_mut,5245.450164908224,992.2976632517891,5.2861659955126035,9.339784833824093e-7,****
AP_axis,3.8468971242632053,1.3794705177220703,2.788676579051225,0.006514724588365932,**
genotype3_mut:AP_axis,-10.855909866779028,2.955214759571369,-3.6734757877135102,4.150724093019696e-4,***
