genotype,genotype_label,n_regions,n_fish,mean_area,median_area,sd_area,min_area,max_area,mean_AP_axis,min_AP_axis,max_AP_axis
2_het,abcc6a+/-,67,10,2229.8674925373134,2271.604,1365.1008105497954,25.558,5141.151,258.81201492537315,10.764,573.864
3_mut,abcc6a-/-,23,5,4329.393652173913,3385.249,3354.1972584203245,563.933,13435.465,306.79082608695654,18.19,523.625
