"genotype";"n";"mean";"median";"sd";"variance";"cv_percent"
"abcc6a+/-";14;137642,548248906;128055,379718346;61270,7123441227;3754100191,15623;44,5143693745947
"abcc6a-/-";10;241882,538400099;228085,023956372;135069,760307501;18243840149,5259;55,8410545882736
